item_name,price,cost_price,category,in_stock,image_path
Gudiya Tim Tim Flower Pots 5pcs,240,110,Anar,10,images/GudiyaTimTimFlowerPots5pcs.jpg
Hattrick 30 shots,740,360,Skyshot,10,images/Hattrick30shots.jpg
Hina colored no15 sparkles,60,20,Sparkles,50,images/Hinacoloredno15sparkles.jpg
Hindustaan 100 shot,2620,1300,Skyshot,6,images/Hindustaan100shot.jpg
Hulk Thaili,68,24,Thaili,100,images/HulkThaili.jpg
Jasmine Flower pots Lily,406,193,Anar,12,images/JasmineFlowerpotsLily.jpg
Krisnaswamy's Ground Chakkar Special,120,50,Spinner,20,images/Krisnaswamy'sGroundChakkarSpecial.jpg
Laser Red 15 no sparkle,96,38,Sparkles,50,images/LaserRed15nosparkle.jpg
Liberty's Penta Paanch chamatkar,300,140,Skyshot,8,images/Liberty'sPentaPaanchchamatkar.jpg
Liberty's penta sky smash,300,140,Skyshot,12,images/Liberty'spentaskysmash.jpg
Mega jil jil,660,320,Sparkles,10,images/Megajiljil.jpg
Mercury Bazooka 2 in 1 big Sky shot,1040,510,Skyshot,5,images/MercuryBazooka2in1bigSkyshot.jpg
Mercury Flower Pots Giant,420,200,Anar,20,images/MercuryFlowerPotsGiant.jpg
Mercury Zaalim chakkar special,160,70,Spinner,20,images/MercuryZaalimchakkarspecial.jpg
Milan Hydro green sutli,96,38,Sutli,40,images/MilanHydrogreensutli.jpg
Mini Bullet Flash Sri Murthi,52,16,Bullet,30,images/MiniBulletFlashSriMurthi.jpg
MiniBullet Cock,104,42,Bullet,20,images/MiniBulletCock.jpg
Mori chaap Rocket Bomb,460,220,Rocket,20,images/MorichaapRocketBomb.jpg
Moric chapp Lunik Express Rocket,540,260,Rocket,20,images/MoricchappLunikExpressRocket.jpg
Mri Chaap Mini Bullet,80,30,Bullet,30,images/MriChaapMiniBullet.jpg
NS sky shot Big 2 in 1,1920,950,Skyshot,2,images/NSskyshotBig2in1.jpg
Nsv Bijli thaili,90,35,Thaili,50,images/NsvBijlithaili.jpg
Nsv Jil Jil stars,620,300,Sparkles,10,images/NsvJilJilstars.jpg
NSV kgf 30 shots,700,340,Skyshot,24,images/NSVkgf30shots.jpg
NSV kgf 60 shots,1420,700,Skyshot,12,images/NSVkgf60shots.jpg
NSV Monaco Spinner,460,220,Spinner,20,images/NSVMonacoSpinner.jpg
Raja's Ganga Jamuna,144,62,AnarBomb,50,images/Raja'sGangaJamuna.jpg
Red Flare 100 sec Torch,160,70,Pencil,10,images/RedFlare100secTorch.jpg
Roll Caps,140,60,Kid's item,30,images/RollCaps.jpg
Sahara's King Super Double SPin,130,55,Spinner,20,images/Sahara'sKingSuperDoubleSPin.jpg
Shivjyothi's Flower Pots Ashoka,340,160,Anar,30,images/Shivjothi'sFlowerPotsAshoka.jpg
Silver Torches Pencil,200,90,Pencil,10,images/SilverTorchesPencil.jpg
Spinner Super Deluxe Nicky,420,200,Spinner,10,images/SpinnerSuperDeluxeNicky.jpg
Sri Murthi Big Flash Deluxe Bullet,80,30,Bullet,30,images/SriMurthiBigFlashDeluxeBullet.jpg
Sunindiya Bijli Crackers,64,22,Thaili,50,images/SunindiyaBijliCrackers.jpg
Supreme ground chakkar super deluxe chakri,400,190,Spinner,10,images/Supremegroundchakkarsuperdeluxechakri.jpg
Supreme queen deluxe Spinner,280,130,Spinner,10,images/SupremequeendeluxeSpinner.jpg
turkey bijli crackers Thaili,48,14,Thaili,100,images/turkeybijlicrackersThaili.jpg
USR Helicopter,180,80,Kid's item,40,images/USRHelicopter.jpg
Vasantha 30 shot Bubble Party,680,330,Skyshot,17,images/Vasantha30shotBubbleParty.jpg
vasantha Color Koti,400,190,Anar,20,images/vasanthaColorKoti.jpg
Vasantha's 3 in 1 sky shot,460,220,Skyshot,30,images/Vasantha's3in1skyshot.jpg
Vasantha's Kit Kat,60,20,Bullet,50,images/Vasantha'sKitKat.jpg
Vasnaths Chitu pitu,70,25,Kid's item,10,images/VasnathsChitupitu.jpg
Yuva's Rocket Bomb,130,55,Rocket,20,images/Yuva'sRocketBomb.jpg
